id,region,color,shape,components
1,1,6,2,5
2,1,2,4,3
3,1,2,5,4
4,1,1,4,4
5,1,4,3,5
6,1,8,2,4
7,1,5,4,3
8,1,3,4,3
9,1,2,4,4
10,1,8,3,4
11,1,4,1,3
12,1,5,2,2
13,1,1,1,1
14,1,4,1,4
15,1,7,1,2
16,1,7,5,3
17,2,4,3,5
18,2,2,1,4
19,2,9,5,5
20,2,8,5,2
21,2,4,4,4
22,2,1,4,5
23,2,6,4,5
24,2,1,3,3
25,2,3,2,2
26,2,8,2,3
27,2,3,5,4
28,2,4,3,5
29,2,8,2,3
30,2,7,5,4
31,2,7,3,3
32,2,8,4,3
33,3,2,3,2
34,3,7,1,4
35,3,1,2,3
36,3,5,1,1
37,3,8,5,2
38,3,1,3,5
39,3,9,1,3
40,3,6,3,3
41,3,5,3,4
42,3,9,3,1
43,3,2,1,1
44,3,3,5,2
45,3,5,3,3
46,3,10,5,4
47,3,5,4,2
48,3,9,4,3
49,4,6,5,1
50,4,4,2,3
51,4,9,4,4
52,4,6,3,2
53,4,8,3,2
54,4,9,5,2
55,4,3,1,3
56,4,3,3,4
57,4,8,5,3
58,4,2,4,4
59,4,7,4,2
60,4,7,5,2
61,4,7,4,1
62,4,1,1,3
63,4,5,5,1
64,4,4,4,2
65,5,8,5,1
66,5,3,5,3
67,5,10,1,1
68,5,6,3,2
69,5,2,3,4
70,5,2,3,4
71,5,8,5,3
72,5,8,1,5
73,5,2,4,2
74,5,5,4,4
75,5,2,5,4
76,5,10,1,3
77,5,6,4,3
78,5,3,3,3
79,5,2,4,4
80,5,10,1,5
81,6,3,4,5
82,6,7,2,1
83,6,2,2,3
84,6,9,1,1
85,6,6,3,4
86,6,6,1,1
87,6,4,3,5
88,6,3,4,2
89,6,5,1,1
90,6,6,5,2
91,6,2,1,4
92,6,1,3,2
93,6,10,5,4
94,6,6,5,3
95,6,4,5,1
96,6,9,5,2
